spec,hac_lags,coef,se,pval,n
orig_scale,0,-10.298447416468676,2.574135350151904,6.314458798744922e-05,19
stdz,0,-0.05740489613552465,0.014348567938304042,6.314458798744993e-05,19
orig_scale,3,-10.298447416468676,3.463770456902319,0.0029472202468031248,19
stdz,3,-0.05740489613552465,0.01930751066396739,0.0029472202468031248,19
orig_scale,6,-10.298447416468676,3.825888451921926,0.007107195580388079,19
stdz,6,-0.05740489613552465,0.02132600384573215,0.007107195580388066,19
