date,cdi,pc1_pred_temp,std_wt_24m,pc1_crosssec_std,predictor_raw,predictor_z,predictor_clipped
2022-06-30,0.5714285714285715,,0.0239634352715883,0.64245832512454,0.64245832512454,0.7531210084148122,0.4049938522998
2022-07-31,0.523809523809524,,0.0233851701665152,,0.0233851701665152,-0.50631627654878,0.0547566143454665
2022-08-31,0.523809523809524,,0.0224423357454364,,0.0224423357454364,-0.5082343710646602,0.05422321094904673
2022-09-30,0.5714285714285715,,0.020461282242777,,0.020461282242777,-0.5122646098575637,0.05310244080830588
2022-10-31,0.6666666666666669,,0.0188617559240219,,0.0188617559240219,-0.5155186729161652,0.052197517576811486
2022-11-30,0.6190476190476191,,0.0164086758992699,,0.0164086758992699,-0.5205091985453721,0.05080970102319539
2022-12-31,0.6,,0.0147263118029332,1.5529990249216143,1.5529990249216143,2.6055174459231245,0.9201272532361662
2023-01-31,0.5636363636363636,,0.0149774626738285,,0.0149774626738285,-0.5234208468447983,0.05
2023-02-28,0.406060606060606,,0.0153527436313962,,0.0153527436313962,-0.5226573783814796,0.05021231314099588
2023-03-31,0.3454545454545454,,0.0163684889213312,,0.0163684889213312,-0.5205909545995326,0.05078696546110186
2023-04-30,0.3454545454545454,,0.0178700543645683,,0.0178700543645683,-0.5175361823325072,0.05163646786519609
2023-05-31,0.406060606060606,,0.0199742948479987,,0.0199742948479987,-0.5132553329690072,0.05282693036386205
2023-06-30,0.4545454545454545,0.5431454138826162,0.0218571892949921,0.584691105857869,0.5431454138826162,0.5510796465908779,0.3488081181131292
2023-07-31,0.4545454545454545,0.5431454138826162,0.0230977715348029,,0.5431454138826162,0.5510796465908779,0.3488081181131292
2023-08-31,0.4545454545454545,,0.0240175703840587,,0.0240175703840587,-0.5050297267983755,0.05511439129589681
2023-09-30,0.4545454545454545,,0.0247519334649552,,0.0247519334649552,-0.5035357446455805,0.05552985317636919
2023-10-31,0.5030303030303029,,0.0251392438022568,,0.0251392438022568,-0.5027478037120368,0.05574897187289363
2023-11-30,0.4545454545454545,,0.0254482608364275,,0.0254482608364275,-0.5021191420241465,0.05592379656309704
2023-12-31,0.4545454545454545,,0.0255699204674084,1.605801564407036,1.605801564407036,2.7129384937203134,0.95
