date,cdi,pc1_crosssec_std,n_firms,std_pc1_12m
2022-06-30,0.5714285714285715,0.64245832512454,6.0,
2022-07-31,0.523809523809524,,1.0,
2022-08-31,0.523809523809524,,,
2022-09-30,0.5714285714285715,,,
2022-10-31,0.6666666666666669,,,
2022-11-30,0.6190476190476191,,,
2022-12-31,0.6,,,
2023-01-31,0.5636363636363636,,,
2023-02-28,0.406060606060606,,,
2023-03-31,0.3454545454545454,,,
2023-04-30,0.3454545454545454,,,
2023-05-31,0.406060606060606,,,
2023-06-30,0.4545454545454545,0.584691105857869,6.0,0.5431454138826162
2023-07-31,0.4545454545454545,,1.0,0.5431454138826162
2023-08-31,0.4545454545454545,,,
2023-09-30,0.4545454545454545,,,
2023-10-31,0.5030303030303029,,,
2023-11-30,0.4545454545454545,,,
2023-12-31,0.4545454545454545,,,
