date,cdi,se,wt,std_wt_24m
2022-06-01,0.5714285714285715,0.10531622720327549,0.40695276901491856,0.008155248580738657
2022-07-01,0.523809523809524,0.10836177562411457,0.39494611103617006,0.008247966111484468
2022-08-01,0.523809523809524,0.1049294922183007,0.4117793811512645,0.008800482039744349
2022-09-01,0.5714285714285715,0.10322904285078219,0.42089346041392256,0.010596775405766328
2022-10-01,0.6666666666666669,0.10249856476129993,0.42544563141412556,0.012540497671796677
2022-11-01,0.6190476190476191,0.10745372332360192,0.40397720609743387,0.012020791226707213
2022-12-01,0.6,0.10987619598865939,0.3948638667574743,0.011634151156810395
2023-01-01,0.5636363636363636,0.11610276407109736,0.370837891775044,0.014571305881552117
2023-02-01,0.406060606060606,0.11799536047070336,0.3653897679960428,0.0181366759834497
2023-03-01,0.3454545454545454,0.12019319880650636,0.3590328503414987,0.021888266804144983
2023-04-01,0.3454545454545454,0.12130445181013642,0.35697934891526384,0.024354696385293417
2023-05-01,0.406060606060606,0.12327039115244018,0.3518734817201264,0.026401903644512354
2023-06-01,0.4545454545454545,0.12436120648695696,0.3501126852109416,0.027864477034661484
2023-07-01,0.4545454545454545,0.12409889465964144,0.35323865073196553,0.028934434762715917
2023-08-01,0.4545454545454545,0.12462357141724482,0.3534495996122503,0.028064360658441832
2023-09-01,0.4545454545454545,0.12483364065178996,0.35476934446684066,0.02462363943011231
2023-10-01,0.5030303030303029,0.12430890498934029,0.35869796500552736,0.017455076682944586
2023-11-01,0.4545454545454545,0.12376329428178359,0.3626332484061644,0.012242666516420947
2023-12-01,0.4545454545454545,0.12280502197074927,0.3680326114199722,0.00668017700575482
