,count,mean,std,min,25%,50%,75%,max
std_wt_24m,19.0,0.012564377784503438,0.005726875312145332,0.0055570744267579,0.0077751626530533,0.0121858833224813,0.0173765040874447,0.0218384709239952
cdi,19.0,0.4933242196400091,0.0895403401550395,0.3454545454545454,0.4545454545454545,0.4545454545454545,0.5675324675324676,0.6666666666666669
