date,pc1_crosssec_std,n_firms,std_pc1_24m
2022-03-30,,1,
2022-06-30,0.64245832512454,6,
2022-07-31,,1,
2022-12-30,1.5529990249216143,2,
2023-03-30,,1,
2023-06-30,0.584691105857869,6,
2023-07-31,,1,
2023-12-30,1.605801564407036,2,
