date,ticker,pc1_score
2022-03-30,AAPL,2.4567661159789433
2022-06-30,AMZN,0.4781089413573922
2022-06-30,GOOGL,-0.6443007161668255
2022-06-30,JNJ,-1.2180459135187882
2022-06-30,JPM,-0.9972080718992916
2022-06-30,META,-1.2654783758084456
2022-06-30,TSLA,-0.7554865515363678
2022-07-31,NVDA,0.7297727509594443
2022-12-30,MSFT,1.699501014159461
2022-12-30,PG,-0.49677126923687814
2023-03-30,AAPL,2.7316320320746055
2023-06-30,AMZN,0.30964192258876205
2023-06-30,GOOGL,-0.7726676534187371
2023-06-30,JNJ,-1.352653939386225
2023-06-30,JPM,-1.0257753238418517
2023-06-30,META,-1.1465032329277471
2023-06-30,TSLA,-0.8291478745529661
2023-07-31,NVDA,1.2045343094169336
2023-12-30,MSFT,1.5825140933114725
2023-12-30,PG,-0.6884322575528908
