method,n,mse,mae,hit_rate,oos_r2_vs_baseline
ar1_hat,71,0.0033269386183900373,0.04454475001070729,0.5633802816901409,-0.060929062259009514
baseline,107,0.0024555210220421095,0.036834121338526864,0.6448598130841121,0.0
mu_wt,0,,,,
mu_clipped,0,,,,
mu_equal,71,0.003203277330858447,0.04366861267848496,0.5915492957746479,-0.02149465457459021
mu_fixed50,71,0.003203277330858447,0.04366861267848496,0.5915492957746479,-0.02149465457459021
